name,items,,item,component1,component2,,,
Akali,"Blue Buff,Hextech Gunblade,Infinity Edge",,Academy Emblem,Spatula,Tear of the Goddess,,,
Blitzcrank,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Arcanist Emblem,Spatula,Needlessly Large Rod,,,
Braum,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Archangel's Staff,Tear of the Goddess,Needlessly Large Rod,,,
Caitlyn,"Guinsoo's Rageblade,Jeweled Gauntlet,Spear of Shojin",,Assassin Emblem,Spatula,Sparring Gloves,,,
Camille,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Banshee's Claw,Sparring Gloves,Giant's Belt,,,
Chogath,"Sunfire Cape,Dragon's Claw,Gargoyle Stoneplate",,Bloodthirster,B.F. Sword,Negatron Cloak,,,
Darius,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Blue Buff,Tear of the Goddess,Tear of the Goddess,,,
Dr Mundo,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Bodyguard Emblem,none,none,,,
Ekko,"Infinity Edge,Morellonomicon,Spear of Shojin",,Bramble Vest,Chain Vest,Chain Vest,,,
Ezreal,"Blue Buff,Jeweled Gauntlet,Spear of Shojin",,Bruiser Emblem,none,none,,,
Fiora,"Hand of Justice,Jeweled Gauntlet,Infinity Edge",,Chalice of Power,Tear of the Goddess,Negatron Cloak,,,
Galio,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Challenger Emblem,Spatula,Recurve Bow,,,
Gangplank,"Bloodthirster,Infinity Edge,Runaan's Hurricane",,Chemtech Emblem,Spatula,Giant's Belt,,,R
Garen,"Bloodthirster,Warmog's Armor,Titan's Resolve",,Clockwork Emblem,none,none,,,
Graves,"Giant Slayer,Hand of Justice,Guinsoo's Rageblade",,Deathblade,B.F. Sword,B.F. Sword,,,
Heimerdinger,"Blue Buff,Jeweled Gauntlet,Infinity Edge",,Dragon's Claw,Negatron Cloak,Negatron Cloak,,,
Illaoi,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Enforcer Emblem,none,none,,,
Janna,"Zephyr,Zeke's Herald,Chalice of Power",,Frozen Heart,Chain Vest,Tear of the Goddess,,,
Jayce,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Gargoyle Stoneplate,Negatron Cloak,Chain Vest,,,
Jhin,"Giant Slayer,Infinity Edge,Last Whisper",,Giant Slayer,B.F. Sword,Recurve Bow,,,
Jinx,"Giant Slayer,Guinsoo's Rageblade,Hand of Justice",,Guardian Angel,B.F. Sword,Chain Vest,,,
Kaisa,"Giant Slayer,Guinsoo's Rageblade,Hand of Justice",,Guinsoo's Rageblade,Needlessly Large Rod,Recurve Bow,,,
Kassadin,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Hand of Justice,Tear of the Goddess,Sparring Gloves,,,
Katarina,"Hextech Gunblade,Blue Buff,Jeweled Gauntlet",,Hextech Gunblade,Needlessly Large Rod,B.F. Sword,,,
Kogmaw,"Giant Slayer,Guinsoo's Rageblade,Hand of Justice",,Imperial Emblem,Spatula,B.F. Sword,,,
Leona,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Infinity Edge,B.F. Sword,Sparring Gloves,,,
Lissandra,"Chalice of Power,Morellonomicon,Zephyr",,Innovator Emblem,none,none,,,
Lulu,"Chalice of Power,Zeke's Herald,Zephyr",,Ionic Spark,Needlessly Large Rod,Negatron Cloak,,,
Lux,"Blue Buff,Infinity Edge,Jeweled Gauntlet",,Jeweled Gauntlet,Needlessly Large Rod,Sparring Gloves,,,
Malzahar,"Blue Buff,Hextech Gunblade,Jeweled Gauntlet",,Last Whisper,Sparring Gloves,Recurve Bow,,,
Miss Fortune,"Infinity Edge,Jeweled Gauntlet,Spear of Shojin",,Locket of the Iron Solari,Needlessly Large Rod,Chain Vest,,,
Orianna,"Infinity Edge,Jeweled Gauntlet,Spear of Shojin",,Mercenary Emblem,none,none,,,
Poppy,"Bramble Vest,Gargoyle Stoneplate,Sunfire Cape",,Morellonomicon,Giant's Belt,Needlessly Large Rod,,,
Quinn,"Guinsoo's Rageblade,Jeweled Gauntlet,Spear of Shojin",,Mutant Emblem,Spatula,Negatron Cloak,,,
Samira,"Bloodthirster,Infinity Edge,Last Whisper",,Protector Emblem,none,none,,,
Seraphine,"Archangel's Staff,Morellonomicon,Spear of Shojin",,Quicksilver,Negatron Cloak,Sparring Gloves,,,
Shaco,"Bloodthirster,Infinity Edge,Rapid Firecannon",,Rabadon's Deathcap,Needlessly Large Rod,Needlessly Large Rod,,,
Singed,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Rapid Firecannon,Recurve Bow,Recurve Bow,,,
Sion,"Hand of Justice,Infinity Edge,Jeweled Gauntlet",,Redemption,Giant's Belt ,Tear of the Goddess,,,
Swain,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Runaan's Hurricane,Recurve Bow,Negatron Cloak,,,
Tahm Kench,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Scholar Emblem,none,none,,,
Talon,"Hand of Justice,Infinity Edge,Rapid Firecannon",,Scrap Emblem,none,none,,,
Taric,"Redemption,Shroud of Stillness,Zephyr",,Shroud of Stillness,Chain Vest,Sparring Gloves,,,
Tristana,"Guinsoo's Rageblade,Infinity Edge,Last Whisper",,Sniper Emblem,none,none,,,
Trundle,"Bloodthirster,Quicksilver,Runaan's Hurricane",,Socialite Emblem,none,none,,,
Twisted Fate,"Blue Buff,Infinity Edge,Jeweled Gauntlet",,Spear of Shojin,B.F. Sword,Tear of the Goddess,,,
Twitch,"Deathblade,Infinity Edge,Last Whisper",,Statikk Shiv,Recurve Bow,Tear of the Goddess,,,
Urgot,"Infinity Edge,Last Whisper,Runaan's Hurricane",,Sunfire Cape,Chain Vest,Giant's Belt,,,
Veigar,"Blue Buff,Infinity Edge,Jeweled Gauntlet",,Syndicate Emblem,Spatula,Chain Vest,,,
Vex,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Tactician's Crown,Spatula,Spatula,,,
Vi,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Thief's Gloves,Sparring Gloves,Sparring Gloves,,,
Viktor,"Infinity Edge,Jeweled Gauntlet,Spear of Shojin",,Titan's Resolve,Recurve Bow,Chain Vest,,,
Warwick,"Guinsoo's Rageblade,Quicksilver,Titan's Resolve",,Warmog's Armor,Giant's Belt,Giant's Belt,,,
Yone,"Guardian Angel,Guinsoo's Rageblade,Runaan's Hurricane",,Zeke's Herald,Giant's Belt,B.F. Sword,,,
Yuumi,"Archangel's Staff,Blue Buff,Morellonomicon",,Zephyr,Giant's Belt,Negatron Cloak,,,
Zac,"Bramble Vest,Dragon's Claw,Warmog's Armor",,Zz'Rot Portal,Giant's Belt,Recurve Bow,,,
Ziggs,"Blue Buff,Infinity Edge,Jeweled Gauntlet",,,,,,,
Zilean,"Chalice of Power,Zeke's Herald,Zephyr",,,,,,,
Zyra,"Infinity Edge,Jeweled Gauntlet,Spear of Shojin",,,,,,,
